"RecordID","ProgramStudi","Gender","DeviceUtama","ModaBelajar","Kepuasan","IntensitasBelajar","DurasiBelajarJam","PaketID"
493003,"Sistem Informasi","L","Smartphone","Diskusi","Cukup","Sedang",8.9,"ADK1-070181AE"
130048,"Matematika","L","Tablet","Praktik","Tidak Puas","Sedang",4.5,"ADK1-070181AE"
397022,"Matematika","P","Laptop","Praktik","Puas","Tinggi",11.9,"ADK1-070181AE"
753034,"Matematika","L","Smartphone","Diskusi","Puas","Tinggi",11.5,"ADK1-070181AE"
193989,"Sains Data","P","Laptop","Video","Puas","Tinggi",8.4,"ADK1-070181AE"
324820,"Sains Aktuaria","P","Laptop","Diskusi","Puas","Tinggi",10.6,"ADK1-070181AE"
107406,"Sistem Informasi","P","Laptop","Video","Cukup","Tinggi",11,"ADK1-070181AE"
863308,"Sains Aktuaria","L","Tablet","Video","Puas","Sedang",5.3,"ADK1-070181AE"
342081,"Sains Aktuaria","L","Laptop","Praktik","Cukup","Tinggi",10.5,"ADK1-070181AE"
262010,"Matematika","L","Tablet","Praktik","Cukup","Rendah",1.8,"ADK1-070181AE"
958523,"Sains Data","L","Laptop","Buku","Puas","Tinggi",12.5,"ADK1-070181AE"
314600,"Sistem Informasi","L","Tablet","Diskusi","Sangat Puas","Rendah",2.1,"ADK1-070181AE"
555791,"Sains Aktuaria","P","Tablet","Buku","Sangat Puas","Tinggi",12.8,"ADK1-070181AE"
297997,"Sains Aktuaria","P","Tablet","Buku","Puas","Sedang",8.9,"ADK1-070181AE"
451870,"Sains Aktuaria","P","Tablet","Praktik","Cukup","Rendah",5.1,"ADK1-070181AE"
304341,"Sains Data","P","Laptop","Video","Puas","Tinggi",13.4,"ADK1-070181AE"
764068,"Sistem Informasi","L","Smartphone","Video","Sangat Puas","Rendah",2.8,"ADK1-070181AE"
159449,"Sistem Informasi","L","Tablet","Buku","Sangat Puas","Tinggi",10.2,"ADK1-070181AE"
397785,"Sistem Informasi","P","Smartphone","Video","Puas","Sedang",6.9,"ADK1-070181AE"
266601,"Sains Data","L","Smartphone","Praktik","Sangat Puas","Tinggi",12.2,"ADK1-070181AE"
598330,"Sains Data","P","Tablet","Diskusi",,"Tinggi",8.3,"ADK1-070181AE"
584526,"Sains Data","L","Tablet","Praktik","Cukup","Sedang",6.5,"ADK1-070181AE"
